temporada,categoria,competicion,grupo,jornada,cod_acta,equipo_local,equipo_visitante,equipo,rival,local_visitante,evento,minuto,parte,jugador,tipo_gol,jugador_entra,jugador_sale,num_sustitucion,resultado_parcial
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,tarjeta amarilla,32,1,"ALVAREZ BOHORQUEZ, ALEJANDRO JOSUE",,,,,0-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,sustitucion,46,2,,,"BATISTA RAMOS, WALDIR F","AMIGO FERNANDEZ, JUAN JOSE",1,0-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,sustitucion,46,2,,,"FERNANDEZ PEREZ, JESUS DE BELEN","ALVAREZ BOHORQUEZ, ALEJANDRO JOSUE",2,0-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,gol,54,2,"RAMOS CASTRO, ANDRÉS",normal,,,,1-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,visitante,sustitucion,55,2,,,"VEIGA ROSENDE, IAGO","VIEITES BOUZON, MARTIN",1,1-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,gol,62,2,"FERNANDEZ PEREZ, JESUS DE BELEN",normal,,,,2-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,visitante,tarjeta amarilla,65,2,"MÍGUEZ SANMARTÍN, MIGUEL",,,,,2-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,visitante,sustitucion,71,2,,,"LOPEZ BREA, SANTIAGO","PAJARO BARRAN, DANIEL",2,2-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,visitante,sustitucion,78,2,,,"MILLAN OCAMPO, JOSE ANTONIO","MÍGUEZ SANMARTÍN, MIGUEL",3,2-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,sustitucion,79,2,,,"BERNAL PENAS, LUCAS","FRANCOS CREGO, JULIAN",3,2-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,sustitucion,83,2,,,"RODRIGUEZ VILAS, BRAIS","RAMOS CASTRO, ANDRÉS",4,2-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,tarjeta amarilla,90'+2,2,"BERNAL PENAS, LUCAS",,,,,2-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,gol,10,1,"FUENTES CORREA, MANUEL",normal,,,,1-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,gol,18,1,"BARRUSO ARIAS, HUGO",normal,,,,2-0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,visitante,gol,20,1,"RIVEIRA MURCIA, HUGO",normal,,,,2-1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186944,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,tarjeta amarilla,20,1,"GOMEZ CORA, ADRIAN",,,,,2-1
