temporada,categoria,competicion,grupo,jornada,cod_acta,equipo,rival,local_visitante,dorsal,jugador,status,tipo_participacion,minutos_jugados
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,25,"PRESEDO VIDAL, ALESSANDRO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,2,"ALDREY RODRIGUEZ, PABLO C",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,5,"BAÑA TOME, ALEJANDRO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,7,"MIGUEZ MEIJOMIL, MIGUEL",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,8,"PROL BREA, DIEGO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,9,"RAMOS CASTRO, ANDRÉS",titular,titular sustituido,83
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,11,"AMIGO FERNANDEZ, JUAN JOSE",titular,titular sustituido,46
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,12,"RUZA VAZQUEZ, BRAIS",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,15,"FRANCOS CREGO, JULIAN",titular,titular sustituido,79
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,16,"ALVAREZ BOHORQUEZ, ALEJANDRO JOSUE",titular,titular sustituido,46
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,17,"GUTIERREZ VAZQUEZ, EDUARDO",titular,titular todo partido,90
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,1186943,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,3,"BATISTA RAMOS, WALDIR F",suplente,suplente participa,44
