temporada,categoria,competicion,grupo,jornada,equipo,rival,local_visitante,puntos
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,C.D.BELVIS,A.C.U.D. CAMPORRAPADO,local,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,C.D. SPORT TEAM ESTRADA,LAMELA C.F.,local,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,local,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,S.D.C. RECESENDE,S.D. CACHEIRAS,local,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,RODEIRO C.F.,S.D. CRUCES,local,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,C.F. CIRE DE MELIDE,S.D. DUBRA B,local,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,C.D. SAN MAMED,TRAZO C.F.,local,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,U.D. VAL DO ULLA,S.D. VILLESTRO,local,1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,2,A.C.U.D. CAMPORRAPADO,U.D. VAL DO ULLA,local,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,2,LAMELA C.F.,C.D.BELVIS,local,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,2,C.F. SILLEDA,C.D. SPORT TEAM ESTRADA,local,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,2,S.D. CACHEIRAS,SOCIEDADE DEPORTIVA O PINO,local,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,2,S.D. CRUCES,S.D.C. RECESENDE,local,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,2,S.D. DUBRA B,RODEIRO C.F.,local,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,2,TRAZO C.F.,C.F. CIRE DE MELIDE,local,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,2,S.D. VILLESTRO,C.D. SAN MAMED,local,1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,3,A.C.U.D. CAMPORRAPADO,LAMELA C.F.,local,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,3,C.D.BELVIS,C.F. SILLEDA,local,1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,3,C.D. SPORT TEAM ESTRADA,S.D. CACHEIRAS,local,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,3,SOCIEDADE DEPORTIVA O PINO,S.D. CRUCES,local,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,3,S.D.C. RECESENDE,S.D. DUBRA B,local,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,3,RODEIRO C.F.,TRAZO C.F.,local,1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,3,C.F. CIRE DE MELIDE,S.D. VILLESTRO,local,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,3,U.D. VAL DO ULLA,C.D. SAN MAMED,local,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,4,LAMELA C.F.,U.D. VAL DO ULLA,local,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,4,C.F. SILLEDA,A.C.U.D. CAMPORRAPADO,local,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,4,S.D. CACHEIRAS,C.D.BELVIS,local,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,4,S.D. CRUCES,C.D. SPORT TEAM ESTRADA,local,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,4,S.D. DUBRA B,SOCIEDADE DEPORTIVA O PINO,local,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,4,TRAZO C.F.,S.D.C. RECESENDE,local,3
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,4,S.D. VILLESTRO,RODEIRO C.F.,local,1
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,4,C.D. SAN MAMED,C.F. CIRE DE MELIDE,local,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,5,LAMELA C.F.,C.F. SILLEDA,local,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,5,A.C.U.D. CAMPORRAPADO,S.D. CACHEIRAS,local,0
2024/25,SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,5,C.D.BELVIS,S.D. CRUCES,local,3
