categoria,competicion,grupo,jornada,fecha,hora,estadio,superficie,árbitro,equipo_local,equipo_visitante,goles_local,goles_visitante,resultado,link_acta
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,15-09-2024,17:00,Campo de Fútbol Municipal As Cancelas,Hierba Artificial,"MIGUENS SANTIAGO, SERGIO",C.D.BELVIS,A.C.U.D. CAMPORRAPADO,2,0,2-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186943&cod_acta=1186943
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,15-09-2024,18:00,Mcpal. Manuel Regueiro - Antiguo Figueroa,Hierba Artificial,"NIETO ABELENDA, RODRIGO",C.D. SPORT TEAM ESTRADA,LAMELA C.F.,5,1,5-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186944&cod_acta=1186944
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,15-09-2024,17:00,Reboredo- Arca- O Pino,Hierba Artificial,"ALCALA REY, ALFONSO",SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,1,4,1-4,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186945&cod_acta=1186945
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,15-09-2024,18:15,A Devesiña - Recesende,Tierra,"PONTE APONTE, ADRIAN",S.D.C. RECESENDE,S.D. CACHEIRAS,0,5,0-5,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186946&cod_acta=1186946
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,15-09-2024,18:30,A Raña - Rodeiro,Hierba Artificial,"VARELA IGLESIAS, FERNANDO",RODEIRO C.F.,S.D. CRUCES,3,1,3-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186947&cod_acta=1186947
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,15-09-2024,18:00,Campo Municipal Jesús Carlos Pampin Rua,Hierba Artificial,"RODRIGUEZ MUNIN, DANIEL",C.F. CIRE DE MELIDE,S.D. DUBRA B,4,0,4-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186948&cod_acta=1186948
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,15-09-2024,18:00,San Mamed,Hierba Artificial,"SOTO PEREZ, SECUNDINO",C.D. SAN MAMED,TRAZO C.F.,5,0,5-0,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186949&cod_acta=1186949
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,1,15-09-2024,18:00,O Coto - Val Do Ulla,Hierba Artificial,"COUTO MENDOZA, OSCAR",U.D. VAL DO ULLA,S.D. VILLESTRO,2,2,2-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186950&cod_acta=1186950
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,2,22-09-2024,17:00,O Forte-Boqueixón,Hierba Artificial,"GOMEZ GUTIERREZ, ADRIAN JOSE",A.C.U.D. CAMPORRAPADO,U.D. VAL DO ULLA,1,2,1-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186951&cod_acta=1186951
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,2,22-09-2024,18:00,Mularedos,Hierba Natural,"SOTO PEREZ, SECUNDINO",LAMELA C.F.,C.D.BELVIS,5,1,5-1,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186952&cod_acta=1186952
SENIOR,SEGUNDA FUTGAL,SANTIAGO | GRUPO 2,2,22-09-2024,18:30,Outeiriño,Hierba Artificial,"PAZ HERMIDA, MANUEL",C.F. SILLEDA,C.D. SPORT TEAM ESTRADA,1,2,1-2,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186953&cod_acta=1186953
