cod_temporada,cod_competicion,cod_grupo,jornada,fecha,hora,estadio,superficie,árbitro,equipo_local,equipo_visitante,cod_acta,link_acta
20,20005965,22010839,1,15-09-2024,17:00,Campo de Fútbol Municipal As Cancelas,Hierba Artificial,"MIGUENS SANTIAGO, SERGIO",C.D.BELVIS,A.C.U.D. CAMPORRAPADO,1186943,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186943&cod_acta=1186943
20,20005965,22010839,1,15-09-2024,18:00,Mcpal. Manuel Regueiro - Antiguo Figueroa,Hierba Artificial,"NIETO ABELENDA, RODRIGO",C.D. SPORT TEAM ESTRADA,LAMELA C.F.,1186944,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186944&cod_acta=1186944
20,20005965,22010839,1,15-09-2024,17:00,Reboredo- Arca- O Pino,Hierba Artificial,"ALCALA REY, ALFONSO",SOCIEDADE DEPORTIVA O PINO,C.F. SILLEDA,1186945,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186945&cod_acta=1186945
20,20005965,22010839,1,15-09-2024,18:15,A Devesiña - Recesende,Tierra,"PONTE APONTE, ADRIAN",S.D.C. RECESENDE,S.D. CACHEIRAS,1186946,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186946&cod_acta=1186946
20,20005965,22010839,1,15-09-2024,18:30,A Raña - Rodeiro,Hierba Artificial,"VARELA IGLESIAS, FERNANDO",RODEIRO C.F.,S.D. CRUCES,1186947,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186947&cod_acta=1186947
20,20005965,22010839,1,15-09-2024,18:00,Campo Municipal Jesús Carlos Pampin Rua,Hierba Artificial,"RODRIGUEZ MUNIN, DANIEL",C.F. CIRE DE MELIDE,"S.D. DUBRA ""B""",1186948,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186948&cod_acta=1186948
20,20005965,22010839,1,15-09-2024,18:00,San Mamed,Hierba Artificial,"SOTO PEREZ, SECUNDINO",C.D. SAN MAMED,TRAZO C.F.,1186949,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186949&cod_acta=1186949
20,20005965,22010839,1,15-09-2024,18:00,O Coto - Val Do Ulla,Hierba Artificial,"COUTO MENDOZA, OSCAR",U.D. VAL DO ULLA,S.D. VILLESTRO,1186950,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186950&cod_acta=1186950
20,20005965,22010839,2,22-09-2024,17:00,O Forte-Boqueixón,Hierba Artificial,"GOMEZ GUTIERREZ, ADRIAN JOSE",A.C.U.D. CAMPORRAPADO,U.D. VAL DO ULLA,1186951,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186951&cod_acta=1186951
20,20005965,22010839,2,22-09-2024,18:00,Mularedos,Hierba Natural,"SOTO PEREZ, SECUNDINO",LAMELA C.F.,C.D.BELVIS,1186952,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186952&cod_acta=1186952
20,20005965,22010839,2,22-09-2024,18:30,Outeiriño,Hierba Artificial,"PAZ HERMIDA, MANUEL",C.F. SILLEDA,C.D. SPORT TEAM ESTRADA,1186953,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186953&cod_acta=1186953
20,20005965,22010839,2,22-09-2024,18:00,A Cañoteira - Cacheiras-Antigo Ignacio,Hierba Artificial,"FERNANDEZ LODEIRO, ABEL",S.D. CACHEIRAS,SOCIEDADE DEPORTIVA O PINO,1186954,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186954&cod_acta=1186954
20,20005965,22010839,2,22-09-2024,20:00,Mpal Do Camballón,Hierba Artificial,"FERNANDEZ MONTOUTO, RUBEN",S.D. CRUCES,S.D.C. RECESENDE,1186955,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186955&cod_acta=1186955
20,20005965,22010839,2,22-09-2024,16:30,A Tilleira - Dubra,Hierba Artificial,"REBOREDO RIADIGOS, JOSE LUIS","S.D. DUBRA ""B""",RODEIRO C.F.,1186956,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186956&cod_acta=1186956
20,20005965,22010839,2,22-09-2024,18:30,O Xeixo - Trazo,Hierba Natural,"QUINTANA PEREIRO, SERGIO",TRAZO C.F.,C.F. CIRE DE MELIDE,1186957,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186957&cod_acta=1186957
20,20005965,22010839,2,22-09-2024,17:00,Suso Conde,Hierba Artificial,"GIL CALDELAS, SAMUEL",S.D. VILLESTRO,C.D. SAN MAMED,1186958,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186958&cod_acta=1186958
20,20005965,22010839,3,29-09-2024,18:30,O Forte-Boqueixón,Hierba Artificial,"GAY CASAL, JAVIER",A.C.U.D. CAMPORRAPADO,LAMELA C.F.,1186959,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186959&cod_acta=1186959
20,20005965,22010839,3,29-09-2024,16:00,Campo de Fútbol Municipal As Cancelas,Hierba Artificial,"MARTINEZ LAREO , MARCOS",C.D.BELVIS,C.F. SILLEDA,1186960,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186960&cod_acta=1186960
20,20005965,22010839,3,29-09-2024,17:00,Mcpal. Manuel Regueiro - Antiguo Figueroa,Hierba Artificial,"ENRIQUEZ PEREIRO, OSCAR",C.D. SPORT TEAM ESTRADA,S.D. CACHEIRAS,1186961,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186961&cod_acta=1186961
20,20005965,22010839,3,29-09-2024,17:00,Reboredo- Arca- O Pino,Hierba Artificial,"GARCIA IGLESIAS, BRAIS",SOCIEDADE DEPORTIVA O PINO,S.D. CRUCES,1186962,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186962&cod_acta=1186962
20,20005965,22010839,3,29-09-2024,17:00,A Devesiña - Recesende,Tierra,"ALAOUI SOULIMANI, AMINE",S.D.C. RECESENDE,"S.D. DUBRA ""B""",1186963,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186963&cod_acta=1186963
20,20005965,22010839,3,29-09-2024,18:30,A Raña - Rodeiro,Hierba Artificial,"FERNANDEZ MONTOUTO, RUBEN",RODEIRO C.F.,TRAZO C.F.,1186964,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186964&cod_acta=1186964
20,20005965,22010839,3,29-09-2024,17:30,Campo Municipal Jesús Carlos Pampin Rua,Hierba Artificial,"VIDAL FONSECA, GUSTAVO",C.F. CIRE DE MELIDE,S.D. VILLESTRO,1186965,https://www.futgal.es/pnfg/NPcd/NFG_CmpPartido?cod_primaria=1000120&CodActa=1186965&cod_acta=1186965
