cod_primaria,categoria,cod_competicion,competicion,cod_grupo,grupo
1000120,SENIOR,20133871,COPA FEDERACIÓN - FASE AUTONÓMICA RFGF,20133892,ELIMINATORIAS
1000120,SENIOR,24100830,PLAY OFF DE ASCENSO A 2ª FEDERACIÓN,24100831,ELMINIATORIAS
1000120,SENIOR,21740091,SUPERCOPA GALICIA,21740108,ELIMINATORIAS
1000120,SENIOR,24102606,PROMOCIÓN DE ASCENSO DE PREFERENTE FUTGAL A 3ª FEDERACIÓN,24103009,PLAY OFF ASCENSO
1000120,SENIOR,20005949,TERCERA FEDERACIÓN,20005950,GRUPO 1
1000120,SENIOR,20005933,PREFERENTE FUTGAL,20005934,GRUPO 1
1000120,SENIOR,20005933,PREFERENTE FUTGAL,20005935,GRUPO 2
1000120,SENIOR,20005953,PRIMERA FUTGAL,20005954,GRUPO 1
1000120,SENIOR,20005953,PRIMERA FUTGAL,20005955,GRUPO 2
1000120,SENIOR,20005953,PRIMERA FUTGAL,20005956,GRUPO 3
1000120,SENIOR,20005953,PRIMERA FUTGAL,20005957,GRUPO 4
1000120,SENIOR,20005953,PRIMERA FUTGAL,20005958,GRUPO 5
1000120,SENIOR,20005953,PRIMERA FUTGAL,20086932,GRUPO 6
1000120,SENIOR,24100828,PRIMERA FUTGAL - PLAY OFF,24102073,A PREFERENTE
1000120,SENIOR,20005965,SEGUNDA FUTGAL,22071018,A CORUÑA | GRUPO 1
1000120,SENIOR,20005965,SEGUNDA FUTGAL,22071162,A CORUÑA | A COSTA | GRUPO 2
1000120,SENIOR,20005965,SEGUNDA FUTGAL,22188500,OURENSE
1000120,SENIOR,20005965,SEGUNDA FUTGAL,22372856,FERROL
1000120,SENIOR,20005965,SEGUNDA FUTGAL,22007848,SANTIAGO | GRUPO 1
1000120,SENIOR,20005965,SEGUNDA FUTGAL,22010839,SANTIAGO | GRUPO 2
1000120,SENIOR,20005965,SEGUNDA FUTGAL,22385336,LUGO | GRUPO 1 | NORTE
1000120,SENIOR,20005965,SEGUNDA FUTGAL,22387206,LUGO | GRUPO 2 | SUR
1000120,SENIOR,20005965,SEGUNDA FUTGAL,20005966,PONTEVEDRA
1000120,SENIOR,20005965,SEGUNDA FUTGAL,22410145,VIGO
1000120,SENIOR,24100811,SEGUNDA FUTGAL - PLAY OFF,24101945,ZONA NORTE
1000120,SENIOR,24100811,SEGUNDA FUTGAL - PLAY OFF,24101830,ZONA SUR
1000120,SENIOR,20005937,TERCERA FUTGAL,22134316,A CORUÑA | GRUPO 1
1000120,SENIOR,20005937,TERCERA FUTGAL,22134884,A CORUÑA | GRUPO 2
1000120,SENIOR,20005937,TERCERA FUTGAL,22398807,A CORUÑA | GRUPO 3
1000120,SENIOR,20005937,TERCERA FUTGAL,22122033,A CORUÑA | A COSTA
1000120,SENIOR,20005937,TERCERA FUTGAL,24107131,A CORUÑA | PLAY OFF DE ASCENSO A 2ª FUTGAL
1000120,SENIOR,20005937,TERCERA FUTGAL,22011254,SANTIAGO | GRUPO 1 > FASE PREVIA
1000120,SENIOR,20005937,TERCERA FUTGAL,22011483,SANTIAGO | GRUPO 2 > FASE PREVIA
1000120,SENIOR,20005937,TERCERA FUTGAL,22011727,SANTIAGO | GRUPO 3 > FASE PREVIA
1000120,SENIOR,20005937,TERCERA FUTGAL,22596761,SANTIAGO | GRUPO 4 > FASE PREVIA
1000120,SENIOR,20005937,TERCERA FUTGAL,23977306,SANTIAGO | FASE ASCENSO - GRUPO 1
1000120,SENIOR,20005937,TERCERA FUTGAL,23977307,SANTIAGO | FASE ASCENSO - GRUPO 2
