minuto,jugador,tipo_gol,equipo,marcador,cod_acta
54,"RAMOS CASTRO, ANDRÉS",Normal,C.D.BELVIS,1-0,1186943
62,"FERNANDEZ PEREZ, JESUS DE BELEN",Normal,C.D.BELVIS,2-0,1186943
10,"FUENTES CORREA, MANUEL",Normal,C.D. SPORT TEAM ESTRADA,1-0,1186944
18,"BARRUSO ARIAS, HUGO",Normal,C.D. SPORT TEAM ESTRADA,2-0,1186944
20,"RIVEIRA MURCIA, HUGO",Normal,LAMELA C.F.,2-1,1186944
63,"BARRUSO ARIAS, HUGO",Normal,C.D. SPORT TEAM ESTRADA,3-1,1186944
84,"FERNANDEZ GONZALEZ, IAGO JOSE",Normal,C.D. SPORT TEAM ESTRADA,4-1,1186944
86,"VARELA MIRANDA, MATEO",Normal,C.D. SPORT TEAM ESTRADA,5-1,1186944
20,"FERNÁNDEZ GARCÍA, RUBÉN",Normal,C.F. SILLEDA,0-1,1186945
22,"CAMBEIRO COSTA, AIRAS",Normal,C.F. SILLEDA,0-2,1186945
27,"LAREO MERA, LUCAS",Normal,SOCIEDADE DEPORTIVA O PINO,1-2,1186945
36,"CAMBEIRO COSTA, AIRAS",Normal,C.F. SILLEDA,1-3,1186945
48,"RIVERO MONTOTO, NUNO",Normal,C.F. SILLEDA,1-4,1186945
10,"CARBALLAL MONTEAGUDO, SAUL",Normal,S.D. CACHEIRAS,0-1,1186946
33,"MARTINEZ RODRIGUEZ, ALESSANDRO EDUARDO",Normal,S.D. CACHEIRAS,0-2,1186946
53,"MARTINEZ RODRIGUEZ, ALESSANDRO EDUARDO",Normal,S.D. CACHEIRAS,0-3,1186946
63,"BENITEZ SANHUEZA, LEONARDO",Normal,S.D. CACHEIRAS,0-4,1186946
80,"SALGUEIRO POMBO, DAVID",Normal,S.D. CACHEIRAS,0-5,1186946
23,"CUÑARRO FERNÁNDEZ, PABLO",Normal,RODEIRO C.F.,1-0,1186947
30,"QUINTÁ GARCÍA, DAVID",Normal,RODEIRO C.F.,2-0,1186947
44,"CUÑARRO FERNÁNDEZ, PABLO",Normal,RODEIRO C.F.,3-0,1186947
74,"SOTO PARCERO, DANIEL",Normal,S.D. CRUCES,3-1,1186947
2,"PAMPIN NOGUEROL, DANIEL",Normal,C.F. CIRE DE MELIDE,1-0,1186948
52,"MONTERROSO GOMEZ, SERGIO",Normal,C.F. CIRE DE MELIDE,2-0,1186948
66,"PARRADO ROMERO, CARLOS",Normal,C.F. CIRE DE MELIDE,3-0,1186948
74,"GARCIA COSTOYA, JORGE",Normal,C.F. CIRE DE MELIDE,4-0,1186948
19,"RENDO GUITIAN, ALEXANDRE",Normal,C.D. SAN MAMED,1-0,1186949
47,"VAZQUEZ PEÑA, JOSE L",Normal,C.D. SAN MAMED,2-0,1186949
60,"RENDO GUITIAN, ALEXANDRE",Normal,C.D. SAN MAMED,3-0,1186949
63,"SENDE MALLO, DIEGO",Normal,C.D. SAN MAMED,4-0,1186949
78,"CHAS BROCOS, IAGO SENEN",Normal,C.D. SAN MAMED,5-0,1186949
23,"BESADA REY, NICOLAS",Normal,U.D. VAL DO ULLA,1-0,1186950
56,"REY MILLAN, DAVID",Normal,S.D. VILLESTRO,1-1,1186950
65,"FREIRIA LOPEZ, JORGE",Penalti,U.D. VAL DO ULLA,2-1,1186950
77,"ZAGATO PEREIRA, JOAO VITOR",Normal,S.D. VILLESTRO,2-2,1186950
55,"BESADA REY, NICOLAS",Normal,U.D. VAL DO ULLA,0-1,1186951
68,"FREIRIA LOPEZ, JORGE",Normal,U.D. VAL DO ULLA,0-2,1186951
90'+3,"VILLAR MELLA, ROI",Normal,A.C.U.D. CAMPORRAPADO,1-2,1186951
33,"GARCIA CARRERA, MANUEL",Normal,LAMELA C.F.,1-0,1186952
47,"RIVEIRA MURCIA, HUGO",Normal,LAMELA C.F.,2-0,1186952
58,"VARELA VAZQUEZ, DAVID",Normal,LAMELA C.F.,3-0,1186952
60,"MIGUEZ MEIJOMIL, MIGUEL",Normal,C.D.BELVIS,3-1,1186952
78,"CASTRO DOMINGUEZ, FRANCISCO",Normal,LAMELA C.F.,4-1,1186952
87,"ESPIÑO CUIÑA, LOIS",Normal,LAMELA C.F.,5-1,1186952
12,"VARELA MIRANDA, MATEO",Normal,C.D. SPORT TEAM ESTRADA,0-1,1186953
30,"BARRUSO ARIAS, HUGO",Normal,C.D. SPORT TEAM ESTRADA,0-2,1186953
90'+5,"FERNÁNDEZ GARCÍA, RUBÉN",Normal,C.F. SILLEDA,1-2,1186953
55,"DA CONCEICAO ANTUNES, FELIPE MATHEUS",Normal,S.D. CACHEIRAS,1-0,1186954
20,"GRANJA HERMIDA, JESUS ANTONIO",Normal,S.D. CRUCES,1-0,1186955
23,"GRANJA HERMIDA, JESUS ANTONIO",Normal,S.D. CRUCES,2-0,1186955
32,"GRANJA HERMIDA, JESUS ANTONIO",Normal,S.D. CRUCES,3-0,1186955
52,"GRANJA HERMIDA, JESUS ANTONIO",Normal,S.D. CRUCES,4-0,1186955
69,"FERNANDEZ REBOREDO, JUAN",Normal,S.D. CRUCES,5-0,1186955
44,"BARDANCA REY, GONZALO",Normal,S.D. DUBRA B,1-0,1186956
6,"VIZCAINO ALCALDE, OSCAR",Normal,C.F. CIRE DE MELIDE,0-1,1186957
9,"VIZCAINO ALCALDE, OSCAR",Normal,C.F. CIRE DE MELIDE,0-2,1186957
12,"VIZCAINO ALCALDE, OSCAR",Normal,C.F. CIRE DE MELIDE,0-3,1186957
15,"PEREIRO SANCHEZ, DAVID",Normal,C.F. CIRE DE MELIDE,0-4,1186957
31,"PEREIRO SANCHEZ, DAVID",Normal,C.F. CIRE DE MELIDE,0-5,1186957
59,"PAMPIN NOGUEROL, DANIEL",Normal,C.F. CIRE DE MELIDE,0-6,1186957
61,"PARRADO ROMERO, CARLOS",Normal,C.F. CIRE DE MELIDE,0-7,1186957
78,"PAMPIN NOGUEROL, DANIEL",Normal,C.F. CIRE DE MELIDE,0-8,1186957
84,"MOSTEIRO GARCIA, SERGIO",Normal,C.F. CIRE DE MELIDE,0-9,1186957
