jugador_entra,jugador_sale,minuto,equipo,cod_acta
"BATISTA RAMOS, WALDIR F","AMIGO FERNANDEZ, JUAN JOSE",46,C.D.BELVIS,1186943
"FERNANDEZ PEREZ, JESUS DE BELEN","ALVAREZ BOHORQUEZ, ALEJANDRO JOSUE",46,C.D.BELVIS,1186943
"BERNAL PENAS, LUCAS","FRANCOS CREGO, JULIAN",79,C.D.BELVIS,1186943
"RODRIGUEZ VILAS, BRAIS","RAMOS CASTRO, ANDRÉS",83,C.D.BELVIS,1186943
"VEIGA ROSENDE, IAGO","VIEITES BOUZON, MARTIN",55,A.C.U.D. CAMPORRAPADO,1186943
"LOPEZ BREA, SANTIAGO","PAJARO BARRAN, DANIEL",71,A.C.U.D. CAMPORRAPADO,1186943
"MILLAN OCAMPO, JOSE ANTONIO","MÍGUEZ SANMARTÍN, MIGUEL",78,A.C.U.D. CAMPORRAPADO,1186943
"IGLESIAS PALLAS, FERNANDO","RIVADULLA QUINTAS, LUIS MIGUEL",51,C.D. SPORT TEAM ESTRADA,1186944
"CHEDAS DURAN, ALFONSO","GOMEZ CORA, ADRIAN",64,C.D. SPORT TEAM ESTRADA,1186944
"ULLA COSTA, RICARDO","CERVIÑO CARRACEDO, ANDRES",77,C.D. SPORT TEAM ESTRADA,1186944
"RIVEIRA DA COSTA, MARTIN","BARRUSO ARIAS, HUGO",77,C.D. SPORT TEAM ESTRADA,1186944
"GOMEZ SANTISO, ALEJANDRO","CASTRO DOMINGUEZ, FRANCISCO",54,LAMELA C.F.,1186944
"VARELA VAZQUEZ, DAVID","GARCIA CARRERA, MANUEL",54,LAMELA C.F.,1186944
"CANABAL DE LA FUENTE, CRISTIAN","RIVEIRA MURCIA, HUGO",57,LAMELA C.F.,1186944
"VILLAMAYOR RIVADULLA, PEDRO","DOVAL GARCIA, ION",75,LAMELA C.F.,1186944
"ABONJO BOUZAS, ALEJANDRO","ESPIÑO CUIÑA, LOIS",75,LAMELA C.F.,1186944
"MOSQUERA GARRIDO, DIEGO","MUIÑA BARREIRO, ALEJANDRO",46,S.D.C. RECESENDE,1186946
"JIMÉNEZ ALBARRAN, SERGIO","NUÑEZ BARRAL, SEBASTIAN",58,S.D.C. RECESENDE,1186946
"ROA BECERRA, YAGO","FRANCO SANMARTIN, CARLOS L",66,S.D.C. RECESENDE,1186946
"CALVO CUTRIN, RAUL","MEIJOME QUINTANA, RODRIGO",66,S.D.C. RECESENDE,1186946
"GARABAL JORGE, SERGIO","DA CONCEICAO ANTUNES, FELIPE MATHEUS",40,S.D. CACHEIRAS,1186946
"ROMERO DURO, SANDRO","MARTINEZ RODRIGUEZ, ALESSANDRO EDUARDO",72,S.D. CACHEIRAS,1186946
"ROMERO MONTOUTO, PABLO","GARCIA VENCE, JOSE MANUEL",57,RODEIRO C.F.,1186947
"LÓPEZ MÉNDEZ, MARCOS","GARCIA SA, JOSE ANTONIO",66,RODEIRO C.F.,1186947
"CANGADO VILLAMARIN, CARLOS","CUÑARRO FERNÁNDEZ, PABLO",66,RODEIRO C.F.,1186947
"LÓPEZ GONZÁLEZ, IGNACIO","PENELA MONTOTO, CRISTIAN",88,RODEIRO C.F.,1186947
"LAMAZARES CASERO, ALBERTO","CALVO DAFONTE, RAÚL",88,RODEIRO C.F.,1186947
"VAZQUEZ BALBOA, XURXO","GRANJA HERMIDA, JESUS ANTONIO",59,S.D. CRUCES,1186947
"CANGAS COSTA, DIEGO","OTERO IGLESIAS, OSCAR",68,S.D. CRUCES,1186947
"FERNANDEZ REBOREDO, JUAN","JACOME AMARANTE, IVAN",68,S.D. CRUCES,1186947
"MENDEZ REIMONDEZ, SANTIAGO","SOTO PARCERO, DANIEL",79,S.D. CRUCES,1186947
"CORBAL CANGADO, BENITO","GONZALEZ SANCHEZ, ALEJANDRO",79,S.D. CRUCES,1186947
"PARRADO ROMERO, CARLOS","PAMPIN NOGUEROL, DANIEL",62,C.F. CIRE DE MELIDE,1186948
"VIZCAINO ALCALDE, OSCAR","PEREIRO SANCHEZ, DAVID",62,C.F. CIRE DE MELIDE,1186948
"RODRIGUEZ RODRIGUEZ, JACOBO","MOSTEIRO GARCIA, SERGIO",74,C.F. CIRE DE MELIDE,1186948
"NIETO GARCIA, BRAIS","POSE GRAÑA, GABRIEL",46,S.D. DUBRA B,1186948
"ARNEJO DIAZ, BRAIS","RODRIGUEZ LANDEIRA, SERGIO J",68,S.D. DUBRA B,1186948
"VÁZQUEZ FERNÁNDEZ, ROBERTO","FORJAN GARCIA, ADRIAN",68,S.D. DUBRA B,1186948
"BALEATO DOMINGUEZ, MARCO","PARAFITA BOQUETE, ANGEL",78,S.D. DUBRA B,1186948
"MACEIRA MATO, ALFONSO","BESTEIRO SAEZ, JAVIER",63,C.D. SAN MAMED,1186949
"LOUZAO FERNANDEZ, MANUEL","SENDE MALLO, DIEGO",63,C.D. SAN MAMED,1186949
"LOPEZ REY, JOSE LUIS","CASAL ALVAREZ, DAVID",73,C.D. SAN MAMED,1186949
"CANABAL PARADA, RUBEN","RENDO GUITIAN, ALEXANDRE",73,C.D. SAN MAMED,1186949
"CELA LOPEZ, LUIS","BECERRA VARELA, ESTEBAN",50,TRAZO C.F.,1186949
"GARCIA LOPEZ, PABLO","MARTINEZ DE SANTIAGO, DIEGO",58,TRAZO C.F.,1186949
"CEBEY DE LA TORRE, MANUEL","FERREIRA PARENTE, RAUL",58,TRAZO C.F.,1186949
"VARELA CAAMAÑO, DANIEL","NOYA BREA, ALVARO",65,TRAZO C.F.,1186949
"ROA BECERRA, JAVIER","ARIAS GARCIA, SERGIO",65,TRAZO C.F.,1186949
"CASAL REBOLO, PEDRO J","CERDEIRA OTERO, ANDRE",66,U.D. VAL DO ULLA,1186950
"CANICOBA BERNARDEZ, BRAIS","CALVIÑO IGLESIAS, PABLO",66,U.D. VAL DO ULLA,1186950
